SQLDATE,YEAR,MonthYear,Actor1Name,Actor1Type1Code,Actor2Name,Actor2Type1Code,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,status,rejection_layer,rejection_reason,confidence_score,llm_label
20250101,2025,202501,BENIN,,,,20,20,2,1,3.0,10,1,10,-12.206572769953,1,Benin,BN,BN,9.5,2.25,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/,rejected,2,-0.7 mot-clé Edo résiduel URL,-0.7,
20250101,2025,202501,GOVERNOR,GOV,,,16,16,1,1,-2.0,3,1,3,-12.206572769953,1,Benin,BN,BN,9.5,2.25,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/,rejected,2,-0.7 mot-clé Edo résiduel URL,-0.7,
20250101,2025,202501,GOVERNOR,GOV,BENIN,,16,16,1,1,-2.0,2,1,2,-12.206572769953,1,Benin,BN,BN,9.5,2.25,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/,rejected,2,-0.7 mot-clé Edo résiduel URL,-0.7,
20250101,2025,202501,MINISTRY,GOV,NATIONAL ASSEMBLY,LEG,71,71,7,2,7.4,4,1,4,-0.59435364041604,1,Benin,BN,BN,9.5,2.25,https://punchng.com/fg-votes-n365bn-for-new-road-projects/,rejected,3,Scraping contenu: Benin City (1 hits: ['edo state']),0.0,
20250102,2025,202501,UNITED KINGDOM,,NIGERIA,,40,40,4,1,1.0,2,1,2,-5.93406593406593,1,Benin,BN,BN,9.5,2.25,https://punchng.com/obasekis-ally-house-burnt-in-edo/,rejected,1A,Mot-clé Benin City détecté dans URL,0.0,
20250102,2025,202501,GOVERNMENT,GOV,,,46,46,4,1,7.0,5,1,5,-10.1827676240209,1,Benin,BN,BN,9.5,2.25,https://www.peoplesdailyng.com/edo-pdp-raises-alarm-over-alleged-abduction-of-councilors/,rejected,2,-0.6 domaine Edo-only | -0.7 mot-clé Edo résiduel URL,-1.3,
20250102,2025,202501,GOVERNMENT,GOV,,,181,181,18,4,-9.0,10,1,10,-10.1827676240209,1,Benin,BN,BN,9.5,2.25,https://www.peoplesdailyng.com/edo-pdp-raises-alarm-over-alleged-abduction-of-councilors/,rejected,2,-0.6 domaine Edo-only | -0.7 mot-clé Edo résiduel URL,-1.3,
20250102,2025,202501,BOSS,BUS,,,128,128,12,3,-5.0,5,1,5,-7.62942779291553,1,Benin,BN,BN,9.5,2.25,https://thesun.ng/edo-council-boss-declares-impeachment-void-cites-breach-of-due-process/,rejected,2,-0.7 mot-clé Edo résiduel URL,-0.7,
20250102,2025,202501,,,GOVERNMENT,GOV,46,46,4,1,7.0,5,1,5,-10.1827676240209,1,Benin,BN,BN,9.5,2.25,https://www.peoplesdailyng.com/edo-pdp-raises-alarm-over-alleged-abduction-of-councilors/,rejected,2,-0.6 domaine Edo-only | -0.7 mot-clé Edo résiduel URL,-1.3,
20250102,2025,202501,,,GOVERNMENT,GOV,181,181,18,4,-9.0,10,1,10,-10.1827676240209,1,Benin,BN,BN,9.5,2.25,https://www.peoplesdailyng.com/edo-pdp-raises-alarm-over-alleged-abduction-of-councilors/,rejected,2,-0.6 domaine Edo-only | -0.7 mot-clé Edo résiduel URL,-1.3,
